@RELATION 'spo0.names'

@ATTRIBUTE t0_green                                numeric
@ATTRIBUTE t0_green_bkg                            numeric
@ATTRIBUTE t0_red                                  numeric
@ATTRIBUTE t0_red_bkg                              numeric
@ATTRIBUTE t0_flag                                 numeric
@ATTRIBUTE t0Point5_green                          numeric
@ATTRIBUTE t0Point5_green_bkg                      numeric
@ATTRIBUTE t0Point5_red                            numeric
@ATTRIBUTE t0Point5_red_bkg                        numeric
@ATTRIBUTE t0Point5_flag                           numeric
@ATTRIBUTE t2_green                                numeric
@ATTRIBUTE t2_green_bkg                            numeric
@ATTRIBUTE t2_red                                  numeric
@ATTRIBUTE t2_red_bkg                              numeric
@ATTRIBUTE t2_flag                                 numeric
@ATTRIBUTE t5_green                                numeric
@ATTRIBUTE t5_green_bkg                            numeric
@ATTRIBUTE t5_red                                  numeric
@ATTRIBUTE t5_red_bkg                              numeric
@ATTRIBUTE t5_flag                                 numeric
@ATTRIBUTE t7_green                                numeric
@ATTRIBUTE t7_green_bkg                            numeric
@ATTRIBUTE t7_red                                  numeric
@ATTRIBUTE t7_red_bkg                              numeric
@ATTRIBUTE t7_flag                                 numeric
@ATTRIBUTE t9_green                                numeric
@ATTRIBUTE t9_green_bkg                            numeric
@ATTRIBUTE t9_red                                  numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t9_flag                                 numeric
@ATTRIBUTE t11Point5_green                         numeric
@ATTRIBUTE t11Point5_green_bkg                     numeric
@ATTRIBUTE t11Point5_red                           numeric
@ATTRIBUTE t11Point5_red_bkg                       numeric
@ATTRIBUTE t11Point5_flag                          numeric
@ATTRIBUTE gal_ndt80_green                         numeric
@ATTRIBUTE gal_ndt80_green_bkg                     numeric
@ATTRIBUTE gal_ndt80_red                           numeric
@ATTRIBUTE gal_ndt80_red_bkg                       numeric
@ATTRIBUTE gal_ndt80_flag                          numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE ndt80_delete_early_green_bkg            numeric
@ATTRIBUTE ndt80_delete_early_red                  numeric
@ATTRIBUTE ndt80_delete_early_red_bkg              numeric
@ATTRIBUTE ndt80_delete_early_flag                 numeric
@ATTRIBUTE ndt80_delete_mid_green                  numeric
@ATTRIBUTE ndt80_delete_mid_green_green_bkg        numeric
@ATTRIBUTE ndt80_delete_mid_green_red              numeric
@ATTRIBUTE ndt80_delete_mid_green_red_bkg          numeric
@ATTRIBUTE ndt80_delete_mid_green_flag             numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t0Point5_correlation                    numeric
@ATTRIBUTE t2_correlation                          numeric
@ATTRIBUTE t5_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t9_correlation                          numeric
@ATTRIBUTE t11Point5_correlation                   numeric
@ATTRIBUTE ndt80_delete_early_correlation          numeric
@ATTRIBUTE ndt80_delete_mid_correlation            numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t5_regression                           numeric
@ATTRIBUTE t7_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE t11Point5_regression                    numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t0_g/r_ratio                            numeric
@ATTRIBUTE t0Point5_g/r_ratio                      numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t7_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE t11Point5_g/r_ratio                     numeric
@ATTRIBUTE ndt80_delete_early_g/r_ratio            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE failed_pcr                              {1,2,3,4,5}
@ATTRIBUTE blast_homology_within_genome            {no,yes}
@ATTRIBUTE overlaps_another_orf                    {no,yes}
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
1553,1112,883,536,0,1969,1084,972,385,0,1521,1133,916,631,0,1819,1392,1064,695,0,2157,1308,1717,862,1,1577,1280,1192,906,0,1515,1074,1152,729,0,1762,1016,3652,3006,0,1072,499,925,363,0,1726,1047,1057,478,0,0.778,0.832,0.863,0.769,0.969,0.692,0.895,0.887,0.898,1.023,1.297,1.003,0.862,0.862,0.741,0.886,0.899,1.137,1.27,1.5,1.36,1.15,0.99,1.03,1.04,1.15,1.01,1,?,no,14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
2408,1484,1637,788,0,2592,1692,2527,861,0,2368,1733,2137,1080,0,2729,1628,2566,936,0,2986,1638,3342,1025,0,2532,1572,3745,1260,0,2304,1366,3278,1028,0,1001,882,3241,2932,0,1965,505,1956,415,0,3594,907,4382,462,0,0.868,0.821,0.897,0.865,0.829,0.88,0.87,0.968,0.962,0.964,0.414,0.52,0.577,0.491,0.309,0.35,0.927,0.675,1.08,0.54,0.6,0.67,0.58,0.38,0.41,0.38,0.94,?,?,no,16/17/09@32/07@34/01/01/01@34/11/03
2379,1396,1707,730,0,3480,1367,1369,556,0,2215,1398,1519,773,0,3151,1788,2575,973,0,2965,1584,2500,1082,0,2208,1321,2147,975,0,2240,1161,2289,836,0,3892,1078,4423,2980,0,2090,444,1590,355,0,3912,832,2639,427,0,0.908,0.935,0.891,0.935,0.862,0.881,0.901,0.924,0.976,0.974,2.579,0.943,0.856,0.868,0.63,0.663,1.186,1.357,1,2.59,1.09,0.85,0.97,0.75,0.74,1.95,1.33,?,?,no,01/07/01@40/01/03
2804,1352,2069,768,0,3566,1712,2144,812,0,2683,1512,1861,942,0,3330,1654,1749,819,0,3481,1637,2520,1094,0,2721,1459,1921,1084,0,3592,1263,2522,915,0,2501,1176,4301,3186,0,1355,457,1125,324,0,2944,893,2276,448,0,0.871,0.913,0.926,0.736,0.94,0.887,0.959,0.963,0.946,0.827,1.288,1.133,0.977,1.233,1.28,1.418,1.099,1.062,1.11,1.39,1.27,1.8,1.29,1.5,1.44,1.18,1.12,?,?,no,11/04/03/01@16/03/03
2455,1384,1506,731,0,2591,1225,1425,431,0,2001,1236,1166,610,0,2746,1503,1859,771,0,3349,1657,3140,976,1,2556,1711,1948,1139,0,1797,1050,1401,651,0,16407,5670,38864,5764,0,1473,625,1021,430,0,2122,900,1445,418,0,0.875,0.958,0.924,0.993,0.677,0.916,0.942,0.946,0.958,1.252,1.269,1.246,1.034,0.23,0.909,0.914,1.281,1.066,1.38,1.37,1.37,1.14,0.78,1.04,0.99,0.32,1.43,1,yes,no,01/04@11/02/03/04@14/07/03@16/19/01@30/01/09/07@43/01/03/05
2645,1452,1874,806,0,3156,1650,2102,816,0,2384,1468,2413,914,0,3386,1742,3007,1040,0,3349,1702,2987,1142,0,2940,1590,2361,1190,0,2823,1317,2221,1010,0,2021,1110,3973,3096,0,1210,433,1312,353,0,2720,888,2198,415,0,0.904,0.799,0.911,0.949,0.938,0.911,0.913,0.973,0.974,1.018,0.991,0.49,0.786,0.825,1.109,1.117,0.781,1,1.11,1.17,0.61,0.83,0.89,1.15,1.24,1.03,0.81,?,?,no,14/04@14/13/01/01@16/01
1537,1100,1003,569,0,2393,1172,2022,605,0,1669,1198,1430,687,0,1997,1476,1400,834,0,2436,1577,1944,1169,0,1444,1205,1190,944,0,2268,1084,1895,708,0,3684,1609,4715,3788,0,1874,561,2047,413,0,1471,839,1917,453,0,0.71,0.956,0.88,0.828,0.883,0.256,0.924,0.966,0.925,0.644,0.799,0.487,0.727,0.947,0.246,0.898,0.755,0.363,1,0.86,0.63,0.92,1.1,0.97,0.99,2.23,0.8,?,yes,no,14/07@14/13/01
3285,1313,2720,642,0,3807,1073,3058,396,0,2146,1153,2080,565,0,2540,1296,6287,690,0,3197,1512,22058,1187,0,2213,1395,8895,1333,0,1654,1102,6604,866,0,3811,1230,11617,3372,0,2495,640,4444,484,0,3135,982,4217,492,1,0.925,0.964,0.957,0.955,0.939,0.928,0.933,0.957,0.867,0.856,0.969,0.592,0.199,0.073,0.084,0.085,0.439,0.76,0.94,1.02,0.65,0.22,0.08,0.1,0.09,0.31,0.46,?,?,no,01/05/25@10/03/01@10/03/03@16/09@34/11/03/07@40/01@41/01/01@42/01@42/04@43/01/03/05@43/01/03/09
3755,1204,2661,714,0,4492,1232,11874,572,0,4660,1261,9455,787,0,5445,1611,5332,1152,0,17326,1800,13765,1177,0,11300,1481,10805,984,0,5586,1222,7640,888,0,36676,1288,14680,3496,0,3694,618,1470,431,0,8040,995,1448,549,0,0.908,0.874,0.883,0.907,0.975,0.934,0.934,0.93,0.944,1.076,0.246,0.343,0.814,1.232,0.939,0.6,2.792,7.483,1.31,0.28,0.39,0.91,1.23,0.99,0.64,3.16,2.96,?,?,no,01/01/11/03/01@01/05
5384,1265,5264,606,0,7146,1087,6147,459,0,4846,1562,3817,967,0,5587,1693,4386,982,0,8986,1771,7957,1372,0,3835,1189,3367,928,0,11140,1091,11322,777,0,11293,1446,10798,3973,0,6075,711,6154,496,0,5413,1012,5925,538,0,0.907,0.942,0.906,0.961,0.869,0.917,0.861,0.954,0.969,0.834,1.035,1.077,1.136,0.915,0.988,0.799,0.911,0.829,0.88,1.06,1.15,1.14,1.09,1.08,0.95,1.44,0.94,?,?,no,01/04@01/05/25@02/19@11/02/03/04@11/04/03/01@14/07/03@18/02/01@40/01
6385,1140,5626,628,0,6144,1321,12105,594,0,4434,1212,7376,628,0,6387,1474,6311,800,0,8405,1541,13822,1057,0,3716,1287,4650,1084,0,6343,1148,9540,836,0,7451,1322,9849,3304,0,4418,535,5465,387,0,4717,983,2672,424,0,0.898,0.936,0.97,0.968,0.894,0.854,0.959,0.972,0.95,0.966,0.39,0.475,0.881,0.474,0.559,0.585,0.774,1.552,1.04,0.41,0.47,0.89,0.53,0.68,0.59,0.93,0.76,?,?,no,01/01/03/02@01/01/06/01/01@01/01/06/01/02@01/01/06/02/01@01/02
3054,1327,1692,568,0,2816,1038,1542,342,0,2171,1115,1328,516,0,2987,1716,2073,973,0,3775,1425,2960,819,0,2991,1738,2417,1202,0,2096,1029,1659,622,0,4897,1077,6463,3002,0,2310,588,1755,465,0,2963,872,1912,408,0,0.951,0.941,0.94,0.831,0.958,0.906,0.918,0.965,0.944,1.517,1.384,1.27,0.895,1.085,0.938,0.863,1.335,1.33,1.53,1.48,1.3,1.15,1.09,1.03,1.02,1.1,1.33,1,yes,no,01/05@01/20/15@02/01
2994,1348,2072,678,0,4043,1657,3244,824,0,2784,1396,1953,805,0,3694,1865,1739,1041,0,4081,1623,1921,1019,0,3109,1429,1899,1096,0,2630,1122,1899,786,0,3919,1220,4628,3086,0,2954,512,1802,352,0,5973,907,2356,401,0,0.933,0.884,0.953,0.933,0.947,0.865,0.968,0.969,0.944,1.163,0.892,1.15,2.532,2.792,1.972,1.359,1.755,2.67,1.18,0.98,1.2,2.62,2.72,2.09,1.35,1.75,1.68,?,?,no,01/06/10@11/02/03/04/01@16/03/01@42/19
6834,1790,5996,1178,0,6291,1702,2948,736,1,4837,1454,3089,770,0,6927,2102,3550,1180,0,7446,2040,3651,1394,0,6752,1725,4014,1281,0,2679,1306,1766,892,0,7066,1239,6373,3108,0,4996,674,2875,424,0,8520,1036,4084,446,0,0.92,0.893,0.934,0.941,0.899,0.956,0.945,0.956,0.846,0.979,2.022,1.395,1.905,2.095,1.768,1.526,1.761,1.556,1.04,2.07,1.45,2.03,2.39,1.83,1.57,1.78,1.76,?,yes,yes,14/10@16/01@20/09/18/09/01@42/04/03@43/01/03/05
5777,1416,5098,852,0,7429,1456,3531,656,0,5648,1724,3594,1128,0,6672,1789,4440,1105,0,7873,1610,4163,1095,0,5812,1516,2893,1209,0,9075,1398,4359,965,0,8338,1302,8225,3259,0,5036,493,1541,350,0,13644,974,3463,433,0,0.951,0.915,0.952,0.912,0.93,0.89,0.941,0.915,0.967,0.985,1.964,1.515,1.345,1.985,2.257,2.08,3.523,4.057,1.02,2.07,1.59,1.46,2.04,2.55,2.26,1.41,3.81,?,yes,no,11/04/01@20/01/21@20/09/01@42/10
6027,1186,5380,626,0,9344,1398,8486,587,0,4643,1282,5073,689,0,6064,1451,6353,808,0,8447,1455,11206,1090,0,3423,1285,3694,1063,0,6563,1141,7261,797,0,5105,1288,7416,3222,0,5353,558,8462,409,0,4086,935,8157,461,0,0.904,0.942,0.954,0.95,0.91,0.897,0.965,0.978,0.954,0.95,0.967,0.757,0.792,0.638,0.718,0.814,0.581,0.391,1.01,1,0.76,0.83,0.69,0.81,0.83,0.91,0.59,?,?,no,01/05/25@14/04@20/09/13@43/01/03/09
1846,1240,1248,668,0,2637,1345,2724,554,0,2193,1202,1406,542,0,2290,1458,1696,754,0,4277,2038,7829,1812,0,2399,1653,5906,1551,0,2048,1164,6117,1096,0,2478,1621,5406,3516,0,1722,824,1764,542,0,2921,1232,2999,1006,0,0.221,0.868,0.601,0.797,0.938,0.85,0.885,0.942,0.636,0.122,0.494,0.716,0.674,0.349,0.123,0.155,0.699,0.888,1.04,0.59,1.14,0.88,0.37,0.17,0.17,0.45,0.73,?,?,no,01/04@01/05@01/07@43/01/03/05
5178,1126,4407,578,0,4992,1075,5036,363,0,4728,1298,6191,720,0,5236,1521,5502,853,0,7540,1514,6794,1017,0,4361,1524,3725,1252,0,5905,1006,5214,720,0,1713,832,3795,2969,0,3966,541,7419,397,0,6844,1067,8112,491,0,0.87,0.965,0.929,0.94,0.923,0.884,0.95,0.94,0.963,0.932,0.832,0.605,0.777,0.971,1.006,1.04,0.468,0.758,1.05,0.83,0.62,0.79,1.04,1.14,1.09,1.06,0.48,?,yes,yes,10/01/02@10/01/05/03/03@32/01/09@42/10/03
1174,1029,702,518,0,1192,977,528,391,0,1401,1222,818,667,0,1795,1561,1091,916,0,1528,1311,997,777,0,1396,1129,1102,912,0,1239,1080,870,734,0,6383,1640,10868,4098,0,626,526,508,426,0,1169,818,1282,581,0,0.032,0.393,0.265,0.517,0.594,0.392,0.339,0.057,0.985,0.027,0.546,0.351,0.623,0.503,0.495,0.349,0.083,0.247,0.78,1.56,1.18,1.33,0.98,1.4,1.16,0.7,1.21,?,?,no,01/03/10@01/04
3042,1429,2126,690,0,2818,1151,7386,532,0,2362,1174,5069,695,0,2480,1482,4153,972,0,5010,1755,17895,1836,0,2924,1578,5727,1183,0,1961,1073,3170,784,0,27282,3322,47296,6161,0,1773,600,4235,617,0,2379,846,4148,460,0,0.767,0.907,0.857,0.895,0.914,0.854,0.876,0.921,0.937,0.489,0.212,0.239,0.296,0.176,0.269,0.318,0.286,0.382,1.12,0.24,0.27,0.31,0.2,0.29,0.37,0.58,0.32,?,?,no,20/01/01/01/01@20/03@34/01/01/01
8684,1192,7633,592,0,6780,1220,6578,494,0,8547,1294,4271,676,0,10753,1416,4138,762,0,15075,1525,5033,978,0,7532,1390,3139,1013,0,13695,962,5608,621,0,9069,1301,8460,3376,0,6594,488,2859,346,0,12185,1028,3125,462,0,0.93,0.931,0.966,0.958,0.937,0.949,0.951,0.956,0.939,1.02,0.894,1.992,2.606,3.174,2.763,2.349,2.358,4.075,1.06,0.91,2.01,2.76,3.34,2.88,2.55,1.52,2.42,?,?,no,01/05@42/01
5452,2161,3577,1260,0,5163,1210,1909,433,0,2713,1236,1989,625,0,2813,1647,2389,904,0,5978,1746,9019,1416,0,3607,1698,4474,1258,0,2138,1224,2180,783,0,16919,2235,11563,4518,0,1866,760,1567,600,0,2953,866,2176,445,0,0.88,0.875,0.929,0.906,0.859,0.903,0.893,0.931,0.974,1.158,2.375,1.065,0.711,0.455,0.535,0.516,1.066,1.15,1.42,2.67,1.08,0.78,0.55,0.59,0.65,2.08,1.14,?,?,no,10/01/09/05@14/07/04@42/10/03
2520,1121,2222,636,0,2826,1273,2482,606,0,2064,1217,1703,672,0,2733,1675,2344,1134,0,5384,1710,7094,1374,1,1997,1195,2055,880,0,4732,1036,5109,664,0,2855,1414,4911,3466,0,2662,581,2686,485,0,2121,940,2672,505,0,0.957,0.938,0.952,0.813,0.796,0.938,0.961,0.946,0.981,0.871,0.782,0.752,0.661,0.599,0.628,0.834,0.888,0.517,0.88,0.82,0.82,0.87,0.64,0.68,0.83,0.99,0.94,?,?,no,14/10
4799,2096,4007,1226,0,6298,1774,4574,828,0,2282,1219,1677,615,0,2878,1670,2102,924,0,4549,1933,3702,1358,0,2290,1570,1573,1143,0,1575,1064,1014,724,0,6484,1373,6178,3405,0,1456,600,1852,480,0,1598,1021,1150,484,0,0.843,0.887,0.87,0.89,0.935,0.683,0.734,0.927,0.898,0.811,1.097,0.867,0.87,0.889,1.189,1.068,0.558,0.748,0.97,1.2,1,1.02,1.11,1.67,1.76,1.84,0.62,?,?,no,10/01/09/05@10/03/01@11/02/03/04
2278,1198,1791,648,0,2317,1149,1759,485,0,2148,1253,1598,806,0,2494,1541,1856,933,0,3167,1776,3061,1732,0,1844,1256,1573,1037,0,3318,1063,3714,883,0,1815,1345,3868,3441,0,1140,605,1848,443,0,1257,955,1252,547,0,0.824,0.904,0.856,0.858,0.814,0.842,0.955,0.922,0.872,0.724,0.841,0.959,0.897,0.762,0.87,0.767,0.337,0.322,0.94,0.91,1.13,1.03,1.04,1.09,0.79,1.1,0.38,?,?,no,11/02/03/04@12/04/03@16/01@32/01/07
3654,1680,2092,882,0,2827,1323,1923,488,0,2296,1156,1500,614,0,2444,1491,1500,776,0,3452,1576,2278,943,0,3699,1697,2559,1246,0,2119,1036,1330,660,0,5035,1236,5557,3419,0,1841,758,1433,610,0,2669,923,1844,433,0,0.903,0.835,0.918,0.849,0.887,0.899,0.911,0.86,0.919,1.443,0.933,1.24,1.073,1.265,1.283,1.52,1.087,1.17,1.63,1.04,1.28,1.31,1.4,1.52,1.61,1.77,1.31,?,?,no,11
6832,1252,6478,684,0,9120,1136,2596,397,0,5170,1184,2385,580,0,7641,1616,2959,816,0,11385,1756,4388,1142,0,4845,1572,2823,1236,0,4323,1073,2918,684,0,11236,1348,7375,3271,0,4852,673,1737,436,0,4629,908,1921,420,0,0.935,0.935,0.94,0.912,0.955,0.917,0.925,0.96,0.978,0.906,3.492,2.156,2.413,2.741,2.016,1.283,3.207,2.508,0.96,3.63,2.2,2.81,2.96,2.06,1.45,2.4,3.21,?,yes,no,12/01/01
3230,1416,2291,704,0,4448,1394,3851,661,0,2701,1220,1820,648,0,3625,1722,2559,936,0,5914,2356,4282,1650,0,3105,1694,2663,1486,0,2764,1223,2253,800,0,13304,1598,9050,3517,0,5215,1238,4426,1018,0,4052,948,3799,526,0,0.838,0.914,0.86,0.898,0.914,0.89,0.937,0.862,0.942,0.864,0.863,1.08,1.038,1.168,0.998,1.028,0.987,0.875,1.14,0.95,1.26,1.17,1.35,1.19,1.06,2.11,1.16,?,?,no,14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05@43/01/03/09
4198,1386,3263,774,0,4097,1199,1754,397,0,2529,1150,1581,602,0,2982,1442,1625,773,0,6932,1890,4060,1168,0,2677,1516,1769,985,0,2032,1097,1183,674,0,18879,2654,8265,3728,0,2854,628,1226,488,0,3069,953,1032,480,0,0.859,0.926,0.928,0.907,0.952,0.917,0.91,0.895,0.92,0.952,1.91,1.34,1.692,1.743,1.388,1.631,2.785,3.571,1.12,2.13,1.4,1.8,1.74,1.48,1.83,3.57,3.01,?,?,no,01/07/01
3846,1504,2515,743,0,2969,1434,2223,666,0,2986,1432,2531,830,0,3211,2368,2846,1746,0,4234,1570,5944,985,0,4207,2032,4962,1540,0,1564,1084,1326,684,0,4923,1008,6336,2834,0,3294,582,3590,438,0,4250,720,6075,356,0,0.896,0.936,0.926,0.768,0.923,0.905,0.864,0.965,0.961,1.248,0.911,0.842,0.565,0.542,0.534,0.67,0.819,0.597,1.32,0.98,0.91,0.76,0.53,0.63,0.74,1.11,0.86,?,?,yes,11/04/03/01@14/10
7517,1395,6482,833,0,5548,1236,5361,498,0,3742,1098,3295,573,0,4655,1856,5704,1200,0,7103,1488,18832,1140,0,3808,1501,7248,1084,0,2216,972,3212,679,0,3926,1145,9243,3016,0,3369,612,4102,478,0,3602,867,5636,452,0,0.934,0.932,0.935,0.891,0.929,0.909,0.943,0.959,0.96,1.042,0.838,0.92,0.563,0.299,0.335,0.462,0.727,0.504,1.08,0.88,0.97,0.62,0.31,0.37,0.49,0.44,0.76,?,?,no,01/04@01/05/02/04@01/05/02/07@01/05/25@02/01/03
4510,1298,3150,599,0,4006,1072,806,326,0,3892,1154,1787,564,0,4657,1938,1736,1042,0,7204,1439,2502,816,0,4029,1758,2336,1237,0,2282,1018,1518,618,0,7545,1110,5143,2985,0,2147,572,700,434,0,3786,920,700,390,0,0.956,0.912,0.925,0.835,0.967,0.942,0.93,0.867,0.92,1.257,6.073,2.074,3.096,3.329,2.279,1.32,5.583,9.683,1.25,6.11,2.23,3.91,3.41,2.06,1.4,2.98,5.92,?,yes,no,12/01/01
