@RELATION 'derisi0.names'

@ATTRIBUTE g1                                      numeric
@ATTRIBUTE g1_bkg                                  numeric
@ATTRIBUTE r1                                      numeric
@ATTRIBUTE r1_bkg                                  numeric
@ATTRIBUTE f1                                      numeric
@ATTRIBUTE g2                                      numeric
@ATTRIBUTE g2_bkg                                  numeric
@ATTRIBUTE r2                                      numeric
@ATTRIBUTE r2_bkg                                  numeric
@ATTRIBUTE f2                                      numeric
@ATTRIBUTE g3                                      numeric
@ATTRIBUTE g3_bkg                                  numeric
@ATTRIBUTE r3                                      numeric
@ATTRIBUTE r3_bkg                                  numeric
@ATTRIBUTE f3                                      numeric
@ATTRIBUTE g4                                      numeric
@ATTRIBUTE g4_bkg                                  numeric
@ATTRIBUTE r4                                      numeric
@ATTRIBUTE r4_bkg                                  numeric
@ATTRIBUTE f4                                      numeric
@ATTRIBUTE g5                                      numeric
@ATTRIBUTE g5_bkg                                  numeric
@ATTRIBUTE r5                                      numeric
@ATTRIBUTE r5_bkg                                  numeric
@ATTRIBUTE f5                                      numeric
@ATTRIBUTE g6                                      numeric
@ATTRIBUTE g6_bkg                                  numeric
@ATTRIBUTE r6                                      numeric
@ATTRIBUTE r6_bkg                                  numeric
@ATTRIBUTE f6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE g7_bkg                                  numeric
@ATTRIBUTE r7                                      numeric
@ATTRIBUTE r7_bkg                                  numeric
@ATTRIBUTE f7                                      numeric
@ATTRIBUTE g1_ratio                                numeric
@ATTRIBUTE g2_ratio                                numeric
@ATTRIBUTE g3_ratio                                numeric
@ATTRIBUTE g4_ratio                                numeric
@ATTRIBUTE g5_ratio                                numeric
@ATTRIBUTE g6_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r1_ratio                                numeric
@ATTRIBUTE r2_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE r4_ratio                                numeric
@ATTRIBUTE r5_ratio                                numeric
@ATTRIBUTE r6_ratio                                numeric
@ATTRIBUTE r7_ratio                                numeric
@ATTRIBUTE g1dashbkg                               numeric
@ATTRIBUTE g2dashbkg                               numeric
@ATTRIBUTE g3dashbkg                               numeric
@ATTRIBUTE g4dashbkg                               numeric
@ATTRIBUTE g5dashbkg                               numeric
@ATTRIBUTE g6dashbkg                               numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r1dashbkg                               numeric
@ATTRIBUTE r2dashbkg                               numeric
@ATTRIBUTE r3dashbkg                               numeric
@ATTRIBUTE r4dashbkg                               numeric
@ATTRIBUTE r5dashbkg                               numeric
@ATTRIBUTE r6dashbkg                               numeric
@ATTRIBUTE r7dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
3553,2220,2555,1214,0,4163,2652,3171,1502,0,2866,1460,2507,1116,0,2311,1202,1855,842,0,2696,1670,2315,1240,0,3132,2246,2612,1446,0,2076,945,1805,676,0,0.99,0.91,1.01,1.09,0.95,0.76,1,1.01,1.1,0.99,0.92,1.05,1.32,1,1333,1511,1406,1109,1026,886,1131,1341,1669,1391,1013,1075,1166,1129,16/01@20/09/07/03@20/09/07/05@20/09/07/29
5425,2666,4420,1308,0,4372,2430,3251,1433,0,4564,1739,4347,1338,0,4068,1441,3986,1014,0,4537,1725,4402,967,0,5116,2269,5478,1544,0,3119,1154,2714,811,0,0.89,1.07,0.94,0.88,0.82,0.72,1.03,1.12,0.93,1.06,1.14,1.22,1.39,0.97,2759,1942,2825,2627,2812,2847,1965,3112,1818,3009,2972,3435,3934,1903,14/10@16/01@20/09/18/09/01@40/01@42/01@42/04/03@43/01/03/05
3519,2232,2323,1084,0,4468,2638,3547,1505,0,3102,1427,2723,986,0,2637,1257,2098,804,0,3342,1879,2545,1270,0,3526,2257,3012,1504,0,2341,1130,1782,860,0,1.04,0.9,0.96,1.07,1.15,0.84,1.31,0.96,1.11,1.04,0.93,0.87,1.19,0.76,1287,1830,1675,1380,1463,1269,1211,1239,2042,1737,1294,1275,1508,922,10/01/02@10/01/03/03@10/01/09/05@10/03/01@16/19/03
9602,2591,8888,1265,0,7656,2664,6256,1585,0,9850,1851,7478,1489,0,12930,1920,9458,1447,0,12126,2050,6820,1040,0,10360,2749,6336,2301,0,9301,1110,2913,814,0,0.92,1.07,1.34,1.37,1.74,1.89,3.9,1.09,0.93,0.75,0.73,0.57,0.53,0.26,7011,4992,7999,11010,10076,7611,8191,7623,4671,5989,8011,5780,4035,2099,01/03/10@01/04
2710,1748,1709,929,0,3029,1922,1898,1052,0,1550,1092,1386,764,0,1556,965,1633,689,0,2717,1348,4934,1295,0,3244,2048,21937,1705,0,1574,781,4938,617,0,1.23,1.31,0.74,0.63,0.38,0.06,0.18,0.81,0.76,1.35,1.59,2.63,16.67,5.56,962,1107,458,591,1369,1196,793,780,846,622,944,3639,20232,4321,02/07@11/04/02
27765,1691,27282,911,0,28799,2071,29344,1284,0,15268,1273,21864,915,0,27385,1247,21056,853,0,22572,1427,22473,1345,0,26895,2336,25204,1431,0,31866,2790,16930,1512,0,0.99,0.95,0.67,1.29,1,1.03,1.89,1.01,1.05,1.49,0.78,1,0.97,0.53,26074,26728,13995,26138,21145,24559,29076,26371,28060,20949,20203,21128,23773,15418,12/04/02
4295,2224,3735,1175,0,4533,2547,3554,1581,0,4927,1704,4675,1216,0,3829,1289,2122,909,0,2829,1391,1700,1019,0,3466,2340,2543,1640,0,3387,1128,1548,785,0,0.81,1.01,0.93,2.09,2.11,1.25,2.96,1.23,0.99,1.08,0.48,0.47,0.8,0.34,2071,1986,3223,2540,1438,1126,2259,2560,1973,3459,1213,681,903,763,20/01/03
3094,2052,1930,1059,0,3824,2422,2369,1366,0,2004,1300,1473,907,0,2094,1164,1634,789,0,2454,1666,1939,1186,0,3101,2198,2396,1464,0,1622,927,1295,696,0,1.2,1.4,1.24,1.1,1.05,0.97,1.16,0.83,0.71,0.81,0.91,0.95,1.03,0.86,1042,1402,704,930,788,903,695,871,1003,566,845,753,932,599,20/03
4687,2719,2911,1239,0,5910,2537,5550,1798,0,2561,1439,2310,1084,0,3502,1374,2855,1026,0,3907,1832,2757,1111,0,4448,2250,4181,1704,0,2081,951,1716,700,0,1.18,0.9,0.92,1.16,1.26,0.89,1.11,0.85,1.11,1.09,0.86,0.79,1.12,0.9,1968,3373,1122,2128,2075,2198,1130,1672,3752,1226,1829,1646,2477,1016,11/02/03/01/01@11/02/03/04
6999,2524,5226,1166,0,6764,2606,6689,1507,0,5077,1684,4363,1267,0,6496,1747,6207,1192,0,4823,1596,4592,1125,0,5443,2618,6333,1720,0,3468,1211,2328,816,0,1.1,0.8,1.1,0.95,0.93,0.61,1.49,0.91,1.25,0.91,1.05,1.08,1.64,0.67,4475,4158,3393,4749,3227,2825,2257,4060,5182,3096,5015,3467,4613,1512,12/01/01@42/16
4873,2285,3375,1102,0,4344,2442,3314,1521,0,4166,1877,3800,1447,0,4809,1657,4209,1184,0,4556,1811,3120,1086,0,5019,2678,5125,2381,0,3568,1157,2443,866,0,1.14,1.06,0.97,1.04,1.35,0.85,1.53,0.88,0.94,1.03,0.96,0.74,1.18,0.65,2588,1902,2289,3152,2745,2341,2411,2273,1793,2353,3025,2034,2744,1577,11/02/03/01@11/02/03/04@16/01
5287,2735,3508,1396,0,4704,2359,3746,1341,0,4281,1831,5682,1357,0,5128,1423,5462,921,0,3878,1794,3343,1162,0,5915,2412,7152,1562,0,3443,1048,3669,746,0,1.21,0.98,0.57,0.82,0.96,0.63,0.82,0.83,1.02,1.75,1.22,1.04,1.59,1.22,2552,2345,2450,3705,2084,3503,2395,2112,2405,4325,4541,2181,5590,2923,01/06@18/02/01@34/01/01/01
4566,1865,3945,958,0,6558,2394,6039,1299,0,3575,1260,3404,854,0,3536,1045,2897,666,0,5111,1508,4623,1254,0,3924,2160,3728,1319,0,2852,859,2079,598,0,0.9,0.88,0.91,1.12,1.07,0.73,1.35,1.11,1.14,1.1,0.89,0.93,1.37,0.74,2701,4164,2315,2491,3603,1764,1993,2987,4740,2550,2231,3369,2409,1481,14/07/11@14/13/01/01
4750,1807,4848,1003,0,5963,2897,5663,2322,0,6149,1535,5893,1160,0,5663,1041,5129,738,0,6411,1565,5742,1543,0,6493,2198,9846,1868,0,3682,804,4232,676,0,0.77,0.92,0.97,1.05,1.15,0.54,0.81,1.3,1.09,1.03,0.95,0.87,1.85,1.23,2943,3066,4614,4622,4846,4295,2878,3845,3341,4733,4391,4199,7978,3556,14/13/01/01
3671,2156,2397,1026,0,4496,2562,3484,1496,0,2663,1214,2456,822,0,2282,1116,1756,725,0,3672,1676,2821,1125,0,3326,2102,2886,1381,0,1759,919,1444,650,0,1.11,0.97,0.89,1.13,1.18,0.81,1.06,0.9,1.03,1.12,0.88,0.85,1.23,0.94,1515,1934,1449,1166,1996,1224,840,1371,1988,1634,1031,1696,1505,794,20/09/18
6708,1920,5516,1003,0,8284,2152,6661,1186,0,4244,1242,3651,812,0,5303,1090,4259,718,0,4842,1517,4038,1082,0,7804,2122,5759,1340,0,5220,919,3936,720,0,1.06,1.12,1.06,1.19,1.12,1.29,1.34,0.94,0.89,0.94,0.84,0.89,0.78,0.75,4788,6132,3002,4213,3325,5682,4301,4513,5475,2839,3541,2956,4419,3216,10/01/03/05@10/01/05/01@10/01/09/05@10/03/01/03@32/01/09
3683,2246,2176,1123,0,3720,2644,2534,1604,0,3680,1880,3223,1428,0,3955,1752,2925,1302,0,2789,1553,1668,924,0,3685,2649,3800,2350,0,2783,1178,2405,858,0,1.36,1.16,1,1.36,1.66,0.71,1.04,0.74,0.86,1,0.74,0.6,1.41,0.96,1437,1076,1800,2203,1236,1036,1605,1053,930,1795,1623,744,1450,1547,01/01/03/05/01@01/20/17@14/07/04@38
3438,1697,2358,869,0,3692,1926,2765,1032,0,2002,1072,1670,736,0,2062,902,2032,590,0,3878,1419,5418,1331,0,4398,2049,11462,1465,0,1702,745,2481,563,0,1.17,1.02,1,0.8,0.6,0.23,0.5,0.85,0.98,1,1.25,1.67,4.35,2,1741,1766,930,1160,2459,2349,957,1489,1733,934,1442,4087,9997,1918,01/05/06/07
4117,2470,2779,1197,0,3984,2561,3294,1478,0,4394,2355,4834,2205,0,3345,1708,3009,1180,0,2845,1727,2160,1066,0,4099,2614,6294,1926,0,2528,1286,4760,1076,0,1.04,0.78,0.78,0.9,1.02,0.34,0.34,0.96,1.28,1.28,1.11,0.98,2.94,2.94,1647,1423,2039,1637,1118,1485,1242,1582,1816,2629,1829,1094,4368,3684,14/04
4918,2673,3190,1367,0,3717,2327,2335,1338,0,2413,1552,1913,1183,0,3183,1427,2443,960,0,3292,1803,2217,1052,0,3956,2431,2940,1466,0,7230,3111,8253,3506,3,1.23,1.39,1.18,1.18,1.28,1.03,0.87,0.81,0.72,0.85,0.85,0.78,0.97,1.15,2245,1390,861,1756,1489,1525,4119,1823,997,730,1483,1165,1474,4747,14/10@18/02/01@20/01/01/01/01/01@20/01/10@42/25
3274,2518,1678,1229,0,3449,2715,2366,1824,0,2563,2067,2095,1519,0,2271,1616,1544,1104,0,2298,1605,1447,975,0,3602,2510,3434,1969,0,1975,1023,1659,727,0,1.68,1.35,0.86,1.49,1.47,0.75,1.02,0.6,0.74,1.16,0.67,0.68,1.33,0.98,756,734,496,655,693,1092,952,449,542,576,440,472,1465,932,01/01
4833,2535,3322,1200,0,3298,2046,2317,1231,0,3000,1600,2843,1185,0,3920,1419,3842,984,0,3833,1802,3234,962,0,4677,2250,5427,1574,0,2575,1010,3322,812,0,1.08,1.15,0.84,0.88,0.89,0.63,0.62,0.93,0.87,1.19,1.14,1.12,1.59,1.61,2298,1252,1400,2501,2031,2427,1565,2122,1086,1658,2858,2272,3853,2510,01/06/05@02/25@42/01
2921,2226,1656,1192,0,3390,2674,2259,1649,0,2250,1689,2008,1331,0,1723,1311,1300,941,0,2198,1630,1749,1193,0,2909,2406,2386,1647,0,1577,997,1441,756,0,1.5,1.17,0.83,1.15,1.02,0.68,0.85,0.67,0.85,1.2,0.87,0.98,1.47,1.18,695,716,561,412,568,503,580,464,610,677,359,556,739,685,20/01/11@20/01/27@32/07@43/01/03/09
4661,1882,3792,979,0,4920,2330,4104,1370,0,3473,1392,3205,1022,0,3364,1066,3156,742,0,3634,1443,3347,1248,0,4484,2121,4662,1501,0,2875,799,2535,593,0,0.99,0.95,0.95,0.95,1.04,0.75,1.07,1.01,1.05,1.05,1.05,0.96,1.33,0.93,2779,2590,2081,2298,2191,2363,2076,2813,2734,2183,2414,2099,3161,1942,12/04/02
10493,2188,11913,1133,0,9268,2642,7989,1543,0,16022,1879,11088,1431,0,8734,1326,4309,967,0,6871,1457,4993,945,0,9235,2377,3782,1983,0,10165,943,4062,716,0,0.77,1.03,1.46,2.22,1.34,3.81,2.76,1.3,0.97,0.68,0.45,0.75,0.26,0.36,8305,6626,14143,7408,5414,6858,9222,10780,6446,9657,3342,4048,1799,3346,01/01/06/06/01/03@01/05
4348,1931,3362,1037,0,5032,2140,3929,1140,0,2893,1195,2244,838,0,2562,1025,1402,655,0,3864,1578,2625,1282,0,3652,2180,2280,1440,0,2322,820,1736,639,0,1.04,1.04,1.21,2.06,1.7,1.75,1.37,0.96,0.96,0.83,0.49,0.59,0.57,0.73,2417,2892,1698,1537,2286,1472,1502,2325,2789,1406,747,1343,840,1097,11/02/03/04@32/01@43/01/03/05
4145,2428,2736,1119,0,4852,2597,4518,1530,0,3275,1925,2669,1397,0,3293,1565,2608,1136,0,3001,1536,2012,1055,0,3650,2591,2944,1782,0,2334,1306,1378,800,0,1.06,0.75,1.06,1.17,1.53,0.91,1.78,0.94,1.33,0.94,0.85,0.65,1.1,0.56,1717,2255,1350,1728,1465,1059,1028,1617,2988,1272,1472,957,1162,578,10/01/09/05@11/02/03/04
3351,2364,1840,1204,0,3266,2346,2106,1369,0,6369,3365,8219,3827,1,4289,2510,4302,2336,0,2222,1553,1469,918,0,3552,2389,3525,1755,0,2306,1052,2113,781,0,1.55,1.25,0.68,0.9,1.21,0.66,0.94,0.65,0.8,1.47,1.11,0.83,1.52,1.06,987,920,3004,1779,669,1163,1254,636,737,4392,1966,551,1770,1332,10/03/01/01/11@14/07/05@14/10@14/13/01/01@16/01@16/19/03@42/04
3378,2199,2179,1137,0,4620,2617,3445,1641,0,2572,1565,2282,1230,0,2036,1203,1696,846,0,2627,1522,1950,1113,0,3805,2230,3086,1727,0,1626,897,1477,692,0,1.13,1.11,0.96,0.98,1.32,1.16,0.93,0.88,0.9,1.04,1.02,0.76,0.86,1.08,1179,2003,1007,833,1105,1575,729,1042,1804,1052,850,837,1359,785,10/01/05@10/03/02
3643,2073,2560,1050,0,4501,3107,3909,2362,0,3331,1652,3629,1298,0,2037,1138,2074,822,0,2927,1535,2556,1192,0,3666,2364,6816,2050,0,2024,820,3902,648,0,1.04,0.9,0.72,0.72,1.02,0.27,0.37,0.96,1.11,1.39,1.39,0.98,3.7,2.7,1570,1394,1679,899,1392,1302,1204,1510,1547,2331,1252,1364,4766,3254,01/03/16/03@10/01@10/03/02@14/13@20/09/18/09/01
3264,2193,2272,1155,0,4235,2963,4044,2224,0,4009,1626,4448,1198,0,2289,1208,1824,832,0,2165,1437,1620,977,0,2883,2170,2454,1670,0,2257,857,1726,636,0,0.96,0.7,0.73,1.09,1.13,0.91,1.28,1.04,1.43,1.37,0.92,0.88,1.1,0.78,1071,1272,2383,1081,728,713,1400,1117,1820,3250,992,643,784,1090,18/02/01/01/01@18/02/05@30/01/05/05/01@40/01/03
3600,2221,2388,1098,0,4276,2646,3407,1530,0,4030,1467,5000,1074,0,2897,1318,2574,861,0,2933,1583,2308,1039,0,3572,2183,3973,1434,0,2645,1112,4327,967,0,1.07,0.87,0.65,0.92,1.06,0.55,0.46,0.93,1.15,1.54,1.09,0.94,1.82,2.17,1379,1630,2563,1579,1350,1389,1533,1290,1877,3926,1713,1269,2539,3360,10/03/02@11/02/03/04@11/06/03@43/01/03/09
4283,1759,3756,901,0,4183,2133,3439,1204,0,2686,1238,2567,905,0,3137,1132,2632,793,0,4313,1603,3981,1615,0,4916,2074,3930,1600,0,2519,763,2441,620,0,0.88,0.92,0.87,1.09,1.15,1.22,0.96,1.14,1.09,1.15,0.92,0.87,0.82,1.04,2524,2050,1448,2005,2710,2842,1756,2855,2235,1662,1839,2366,2330,1821,10/03/01/01/11@14/07/05@14/10@14/13/01/01@16/01@16/19/03
2927,2167,1853,1207,0,3800,2891,2968,2230,0,2423,1649,2143,1237,0,1667,1081,1239,774,0,2248,1423,1596,1030,0,2879,2134,2358,1558,0,1538,849,1547,593,0,1.18,1.23,0.85,1.26,1.46,0.93,0.72,0.85,0.81,1.18,0.79,0.68,1.08,1.39,760,909,774,586,825,745,689,646,738,906,465,566,800,954,01@43/01/03/09
3889,2511,2304,1238,0,3788,2630,2420,1539,0,2632,1470,2194,1088,0,2901,1540,1998,980,0,2806,1621,1663,1045,0,3800,2592,3185,1653,0,2294,1220,1282,805,0,1.29,1.31,1.05,1.34,1.92,0.79,2.25,0.78,0.76,0.95,0.75,0.52,1.27,0.44,1378,1158,1162,1361,1185,1208,1074,1066,881,1106,1018,618,1532,477,01/06
3853,1789,2969,929,0,3603,2044,3047,1155,0,2164,1242,2040,929,0,2415,1093,1845,789,0,3079,1369,2765,1281,0,3588,2164,4109,1602,0,2044,800,2190,622,0,1.01,0.82,0.83,1.25,1.15,0.57,0.79,0.99,1.22,1.2,0.8,0.87,1.75,1.27,2064,1559,922,1322,1710,1424,1244,2040,1892,1111,1056,1484,2507,1568,20/09/07/27@40/01@43/01/03/09
3338,2033,2290,1175,0,4285,2947,3701,2442,0,4782,1734,5286,1304,0,2172,1223,1764,904,0,2625,1506,1666,1059,0,3513,2406,3631,2100,0,2486,887,2500,673,0,1.17,1.06,0.77,1.1,1.84,0.72,0.88,0.85,0.94,1.3,0.91,0.54,1.39,1.14,1305,1338,3048,949,1119,1107,1599,1115,1259,3982,860,607,1531,1827,14/04@14/13/01/01@20/09/01
2584,2076,1654,1196,0,2807,2428,1831,1446,0,1622,1391,1217,1005,0,1412,1201,1019,850,0,2244,1555,1695,1108,0,2545,2115,1869,1452,0,1380,921,1341,687,0,1.11,0.98,1.09,1.25,1.17,1.03,0.7,0.9,1.02,0.92,0.8,0.85,0.97,1.43,508,379,231,211,689,430,459,458,385,212,169,587,417,654,01/05/25@11/02/03/04/01
3742,2454,2066,1132,0,4308,2327,3715,1249,0,2393,1434,2010,974,0,3234,1260,2637,819,0,2627,1724,1773,1005,0,3584,2077,3255,1255,0,1808,1030,1374,726,0,1.38,0.8,0.93,1.09,1.18,0.75,1.2,0.72,1.25,1.08,0.92,0.85,1.33,0.83,1288,1981,959,1974,903,1507,778,934,2466,1036,1818,768,2000,648,16/01@20/09/13
4028,2702,2108,1228,0,3086,2130,1824,1176,0,2128,1388,1711,990,0,2604,1302,1953,924,0,3499,1767,2252,1005,0,3946,2241,4227,1616,0,1774,1030,1465,734,0,1.51,1.48,1.03,1.27,1.39,0.65,1.02,0.66,0.68,0.97,0.79,0.72,1.54,0.98,1326,956,740,1302,1732,1705,744,880,648,721,1029,1247,2611,731,01/05/02/07@01/05/03@02/19
7834,2572,7028,1404,0,7003,2521,5793,1693,0,6926,2039,6053,1641,0,6428,1555,4666,1038,0,4959,1731,3207,1212,0,7225,2670,5096,1769,0,5037,1204,3220,783,0,0.94,1.09,1.11,1.34,1.62,1.37,1.57,1.06,0.92,0.9,0.75,0.62,0.73,0.64,5262,4482,4887,4873,3228,4555,3833,5624,4100,4412,3628,1995,3327,2437,10/01/05/01@14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
5952,2777,3911,1322,0,3892,2281,2559,1263,0,2703,1422,2108,1083,0,3477,1227,2305,788,0,4176,1844,2574,1038,0,4595,2156,2862,1270,0,2605,998,1514,679,0,1.23,1.24,1.25,1.48,1.52,1.53,1.92,0.81,0.81,0.8,0.68,0.66,0.65,0.52,3175,1611,1281,2250,2332,2439,1607,2589,1296,1025,1517,1536,1592,835,16/13/01@30@34/11/12@42/01
5688,1842,5442,922,0,5639,2240,6328,1309,0,5372,1414,6217,1055,0,3518,1042,3372,682,0,4811,1522,6067,1423,0,5322,2138,10294,1777,0,2957,795,17905,668,0,0.85,0.68,0.77,0.92,0.71,0.37,0.13,1.18,1.47,1.3,1.09,1.41,2.7,7.69,3846,3399,3958,2476,3289,3184,2162,4520,5019,5162,2690,4644,8517,17237,01/05/02/07@02/10@16/21/11
8403,2610,6851,1249,0,4758,2284,3379,1241,0,6412,1680,6001,1291,0,9286,1562,11199,1296,0,7875,1974,11225,1243,0,6284,2320,16489,1653,0,4059,1244,5125,1059,0,1.03,1.16,1,0.78,0.59,0.27,0.69,0.97,0.86,1,1.28,1.69,3.7,1.45,5793,2474,4732,7724,5901,3964,2815,5602,2138,4710,9903,9982,14836,4066,99
