@relation R_data_frame

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute unlabelledlabels string

@data
0.12033,0.215142,0.638997,0.915814,0.489507,0.455283,0.4576,0.468604,0.695857,0.459574,0.606503,0.425908,0.658084,0.436812,0.537901,0.659909,0.470638,0.474923,0.544551,0.655299,0.585965,0.422698,0.615253,0.598491,0.59363,0.536738,0.530344,0.519563,0.616911,0.522421,0.380142,0.524019,0.507025,0.53446,0.503633,0.655662,0.566861,0.546962,0.623858,0.52457,0.565586,0.465585,0.609408,0.561124,0.560904,0.433946,0.576593,0.502158,0.484934,0.352372,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.108635,0.191751,0.635824,0.911234,0.484319,0.452822,0.488032,0.443214,0.71537,0.444469,0.596923,0.432544,0.656665,0.435519,0.541214,0.656553,0.467951,0.469759,0.523747,0.656028,0.58693,0.424688,0.61735,0.598227,0.594574,0.535504,0.528184,0.519575,0.617226,0.533646,0.366012,0.536345,0.58518,0.546315,0.476843,0.665105,0.566683,0.538487,0.621765,0.52916,0.56616,0.463439,0.605722,0.565645,0.559611,0.406589,0.575369,0.501532,0.490302,0.351292,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.120783,0.215016,0.639579,0.914387,0.490057,0.456552,0.446939,0.478034,0.687177,0.465357,0.608097,0.424677,0.658741,0.437762,0.538282,0.661858,0.471037,0.474056,0.544666,0.657861,0.585172,0.423469,0.615263,0.598181,0.594056,0.537868,0.530793,0.51981,0.616367,0.518717,0.383474,0.520872,0.478701,0.529794,0.511911,0.653367,0.566134,0.549377,0.623101,0.523018,0.56441,0.465343,0.611499,0.55925,0.560471,0.441292,0.577187,0.501034,0.484319,0.352917,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.115846,0.203727,0.638383,0.909682,0.490482,0.459561,0.424442,0.491942,0.67294,0.475609,0.612187,0.42104,0.658016,0.436208,0.535849,0.661992,0.471594,0.470166,0.534168,0.660125,0.584047,0.423746,0.614958,0.598933,0.595456,0.537709,0.531657,0.52138,0.616776,0.514795,0.389661,0.516712,0.426395,0.5223,0.535855,0.649,0.5671,0.552025,0.623411,0.519598,0.563851,0.466912,0.611211,0.557999,0.561566,0.449009,0.578947,0.499677,0.484792,0.351581,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.10663,0.183953,0.617817,0.916912,0.501216,0.439779,0.511495,0.476836,0.708577,0.43475,0.589329,0.418618,0.660098,0.430938,0.54427,0.648203,0.476906,0.477149,0.53141,0.660997,0.592696,0.438898,0.617922,0.609809,0.589477,0.540397,0.5392,0.492808,0.599388,0.516412,0.360663,0.522704,0.584309,0.556484,0.489756,0.679265,0.561899,0.53374,0.620892,0.515551,0.572264,0.460903,0.614767,0.558144,0.569994,0.414725,0.56969,0.512838,0.488289,0.344579,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.104625,0.238149,0.590525,0.980433,0.523218,0.442957,0.448552,0.517254,0.663173,0.465085,0.611129,0.415176,0.650573,0.438425,0.542501,0.659453,0.466126,0.4821,0.559847,0.654679,0.584511,0.427195,0.616665,0.596347,0.590987,0.533883,0.528637,0.518724,0.621872,0.514562,0.383383,0.524158,0.462632,0.52315,0.536451,0.644131,0.550506,0.552553,0.621441,0.515082,0.578747,0.471803,0.623056,0.553945,0.562358,0.505957,0.582748,0.514317,0.46898,0.351312,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.053916,0.041058,0.494831,0.907893,0.590534,0.408348,0.426341,0.490229,0.704142,0.433872,0.632781,0.509636,0.666791,0.527671,0.442773,0.631502,0.426589,0.435532,0.451575,0.660675,0.611105,0.450311,0.634804,0.610962,0.579152,0.514364,0.549539,0.504798,0.635333,0.485061,0.3603,0.497589,0.527726,0.52695,0.536109,0.638223,0.530652,0.549822,0.619838,0.524315,0.600121,0.472916,0.66758,0.554127,0.556163,0.416231,0.590777,0.504772,0.501838,0.354733,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.114811,0.205047,0.638116,0.914328,0.485922,0.454247,0.477326,0.454171,0.709009,0.450041,0.601391,0.42974,0.659138,0.436411,0.541341,0.657596,0.468627,0.471528,0.533508,0.65596,0.587954,0.422822,0.61543,0.59978,0.593981,0.536445,0.5282,0.519567,0.6157,0.530603,0.373288,0.5325,0.561578,0.54187,0.484132,0.659573,0.566428,0.543721,0.623384,0.528245,0.565158,0.462735,0.609073,0.562686,0.560771,0.418174,0.576314,0.502361,0.488656,0.349753,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.133665,0.112074,0.382454,0.842121,0.146599,0.44199,0.474995,0.513636,0.654407,0.201139,0.63347,0.379956,0.653149,0.438736,0.530229,0.646552,0.471161,0.438349,0.445233,0.67876,0.590546,0.458642,0.643057,0.60231,0.593665,0.532554,0.531795,0.500147,0.613397,0.666844,0.427622,0.456021,0.521778,0.501688,0.488314,0.68054,0.530226,0.517309,0.618345,0.526628,0.554969,0.475742,0.630679,0.632735,0.567688,0.430159,0.590578,0.507666,0.474868,0.361166,GO0009987@GO0006357@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0006468@GO0007165@GO0006464@GO0016310@GO0036211@GO0044267@GO0019538@GO0043412@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0031325@GO0009893@GO0048522@GO0048518@GO0010604@GO0050790@GO0065009@GO0043085@GO0044093@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0048856@GO0032502@GO0032501@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774@GO0051336@GO0051345@GO0010628@GO0043087@GO0043547@GO0045893@GO1903508@GO1902680@GO0010557@GO0031328@GO0051254@GO0009891@GO0045935@GO0051173@GO0045944
0.121059,0.191107,0.621937,0.902173,0.505178,0.433966,0.510857,0.470109,0.693296,0.451202,0.604419,0.410509,0.666729,0.423216,0.526808,0.668698,0.461598,0.466999,0.544988,0.65583,0.603607,0.43794,0.616313,0.60168,0.594545,0.545224,0.517025,0.520156,0.621265,0.525636,0.371323,0.537605,0.583271,0.540055,0.490041,0.66705,0.564492,0.544843,0.624919,0.528448,0.565724,0.469582,0.620008,0.560262,0.56444,0.421645,0.575958,0.500739,0.491514,0.351761,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.065458,0.043153,0.501954,0.885373,0.583992,0.439197,0.457302,0.521486,0.696538,0.412133,0.552552,0.427075,0.65711,0.424913,0.622595,0.629139,0.432021,0.438924,0.437582,0.742653,0.601593,0.479029,0.603723,0.591863,0.604496,0.530386,0.568414,0.537496,0.608254,0.474229,0.411002,0.537135,0.538074,0.550804,0.554901,0.657,0.52657,0.561722,0.610967,0.507196,0.577526,0.477088,0.660659,0.545277,0.552743,0.397037,0.587457,0.505669,0.437275,0.361244,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
