@relation R_data_frame

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute labelledlabels string

@data
0.105986,0.186781,0.632314,0.909182,0.493663,0.459189,0.40963,0.505308,0.665285,0.478267,0.616263,0.425285,0.659642,0.436483,0.530323,0.657561,0.47322,0.465761,0.523585,0.662524,0.579824,0.426134,0.618786,0.594538,0.59609,0.532563,0.534822,0.521645,0.616493,0.512945,0.396217,0.519593,0.396725,0.516148,0.548535,0.650839,0.56539,0.553155,0.630675,0.518195,0.565403,0.472021,0.61007,0.554864,0.564868,0.456164,0.573789,0.495301,0.480491,0.350826,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.114755,0.110854,0.449908,0.847775,0.191178,0.461957,0.447314,0.464864,0.610831,0.019206,0.643326,0.399417,0.660156,0.438414,0.495917,0.669813,0.467141,0.436325,0.432909,0.683183,0.585863,0.435681,0.635083,0.598864,0.598509,0.555327,0.514839,0.530685,0.616706,0.453493,0.37467,0.562718,0.523374,0.5166,0.514318,0.662982,0.574243,0.544473,0.612788,0.532089,0.573653,0.470151,0.581691,0.418477,0.515167,0.400976,0.561963,0.510774,0.498348,0.340008,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0007165@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0048856@GO0032502@GO0032501@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774@GO0022414@GO0007186@GO0048609
0.131092,0.12949,0.34725,0.894165,0.187464,0.393632,0.508538,0.477993,0.669326,0.80736,0.584064,0.473822,0.660095,0.456208,0.494072,0.633199,0.462466,0.430783,0.471934,0.663896,0.555445,0.431798,0.645097,0.565758,0.644034,0.488064,0.529709,0.495071,0.618941,0.500705,0.370657,0.596546,0.519482,0.545769,0.538654,0.656562,0.557827,0.569925,0.633722,0.528859,0.584507,0.454969,0.627665,0.566102,0.56444,0.51446,0.571837,0.46767,0.540209,0.367851,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774
0.109128,0.189369,0.637736,0.908233,0.483501,0.459549,0.488568,0.456728,0.715275,0.445384,0.598526,0.42929,0.646645,0.444731,0.536627,0.654485,0.464509,0.462973,0.530071,0.654984,0.583303,0.420955,0.615191,0.597121,0.597229,0.530187,0.527578,0.517819,0.620368,0.535156,0.369296,0.534622,0.572287,0.545642,0.485998,0.667206,0.568427,0.541135,0.623539,0.53139,0.561739,0.46162,0.609439,0.563341,0.562564,0.411188,0.576342,0.506226,0.489021,0.353826,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.132873,0.192121,0.575605,0.907395,0.537244,0.422916,0.455951,0.430889,0.592719,0.514868,0.565002,0.407366,0.648251,0.421395,0.54011,0.659263,0.451581,0.469483,0.521524,0.606683,0.568007,0.43933,0.632278,0.572938,0.583309,0.533212,0.540494,0.519031,0.606664,0.505158,0.369544,0.515949,0.468844,0.52445,0.530575,0.661973,0.550612,0.556886,0.624321,0.509978,0.58138,0.475523,0.638235,0.552409,0.569725,0.491338,0.555465,0.457283,0.517646,0.350717,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.087626,0.129257,0.607997,0.889175,0.509242,0.453368,0.40073,0.540438,0.646615,0.480864,0.607142,0.40076,0.658463,0.432087,0.530093,0.647289,0.480669,0.460607,0.491832,0.670358,0.590679,0.447724,0.625687,0.609334,0.58622,0.543179,0.536352,0.495436,0.602195,0.481717,0.378577,0.48858,0.344201,0.51728,0.57695,0.654304,0.561646,0.551575,0.622839,0.50194,0.568399,0.459157,0.624535,0.54715,0.569515,0.467957,0.580069,0.500453,0.483864,0.348723,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.154861,0.133193,0.317035,0.863554,0.200062,0.432052,0.453184,0.48411,0.625307,0.069793,0.600948,0.360962,0.657866,0.414619,0.473527,0.608603,0.462203,0.460748,0.419278,0.673363,0.606249,0.412174,0.616887,0.633148,0.554394,0.527434,0.532813,0.519969,0.631427,0.690484,0.41818,0.463365,0.567856,0.49856,0.550314,0.652857,0.535902,0.51168,0.615225,0.53153,0.562198,0.48277,0.644151,0.37091,0.520711,0.410856,0.551562,0.515686,0.456482,0.354911,GO0009987@GO0006357@GO0000122@GO0045892@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0010629@GO1903507@GO2000113@GO0010605@GO0009892@GO0048519@GO1902679@GO0010558@GO0031327@GO0051253@GO0009890@GO0031324@GO0048523@GO0045934@GO0051172@GO0035556@GO0006468@GO0007165@GO0006464@GO0016310@GO0036211@GO0044267@GO0019538@GO0043412@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0031325@GO0009893@GO0048522@GO0048518@GO0010604@GO0050790@GO0065009@GO0043085@GO0044093@GO0016567@GO0032446@GO0070647@GO0016043@GO0071840@GO0006950@GO0050896@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0048731@GO0048856@GO0032502@GO0032501@GO0007166@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774@GO0006366@GO0006508@GO0006811@GO0042981@GO0043067@GO0010941@GO0051336@GO0051345@GO0006952@GO0022414@GO0022610@GO0007155@GO0007186@GO0007154@GO0023052@GO0048609@GO0007399@GO0042127@GO0008284@GO0008285@GO0010628@GO0055085@GO0043066@GO0043069@GO0060548@GO0043087@GO0043547@GO0045893@GO1903508@GO1902680@GO0010557@GO0031328@GO0051254@GO0009891@GO0045935@GO0051173@GO0045944
0.112951,0.200116,0.637486,0.912503,0.485228,0.453366,0.483622,0.450854,0.712468,0.44706,0.599365,0.429528,0.658035,0.43716,0.542459,0.656622,0.468002,0.471664,0.530421,0.656046,0.586892,0.425308,0.617329,0.599604,0.593883,0.535584,0.530486,0.518281,0.617693,0.531822,0.371047,0.535485,0.572439,0.54441,0.477239,0.65964,0.565337,0.541087,0.624116,0.529536,0.56566,0.46533,0.607347,0.563917,0.560029,0.413236,0.576542,0.502032,0.48884,0.350894,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.112232,0.199477,0.629871,0.917894,0.492985,0.447175,0.490362,0.463649,0.703352,0.448456,0.607593,0.428774,0.65366,0.436391,0.543336,0.660814,0.455661,0.470881,0.53022,0.655259,0.589363,0.407512,0.617574,0.577452,0.577658,0.546199,0.53686,0.519914,0.62577,0.547132,0.381715,0.546017,0.550926,0.548899,0.460024,0.655544,0.544226,0.552286,0.599286,0.50566,0.583274,0.45094,0.599266,0.560849,0.562241,0.411136,0.579612,0.500941,0.489735,0.345613,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.134019,0.199254,0.589148,0.907559,0.534582,0.443753,0.487922,0.465199,0.699531,0.433153,0.596916,0.433219,0.628759,0.439246,0.613693,0.625542,0.43413,0.469212,0.562331,0.723887,0.609285,0.473326,0.60064,0.592717,0.614961,0.517755,0.51823,0.537428,0.612826,0.528849,0.332933,0.561163,0.584945,0.522448,0.517991,0.674758,0.567577,0.548815,0.611113,0.5073,0.562131,0.452172,0.635068,0.566707,0.558749,0.401638,0.571492,0.503344,0.492391,0.336857,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.106904,0.200983,0.594824,0.945147,0.525065,0.427691,0.502979,0.520674,0.67323,0.45162,0.622457,0.4119,0.651221,0.428865,0.53767,0.664306,0.457229,0.487134,0.539762,0.654927,0.591831,0.409476,0.617952,0.576169,0.567212,0.552203,0.543714,0.514693,0.620949,0.544426,0.389002,0.543414,0.497906,0.547592,0.476898,0.643131,0.524251,0.575806,0.580232,0.499624,0.584882,0.462152,0.613152,0.575197,0.541478,0.47696,0.57437,0.499306,0.469516,0.340239,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
