@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___15_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point2%_MMS___45_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___120_min                        numeric
@ATTRIBUTE dun1__Plus_0point02%_MMs___30_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___120_min                               numeric
@ATTRIBUTE wt_plus_gamma_5_min                                              numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_30_min                                             numeric
@ATTRIBUTE wt_plus_gamma_45_min                                             numeric
@ATTRIBUTE wt_plus_gamma_60_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___60_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_10_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_20_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_90_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___60_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460_vs_DES460_YPD_log_phase_control                           numeric
@ATTRIBUTE DES459_mec1___log_phase_IR_time_=_0_sample                       numeric
@ATTRIBUTE DES459_mec1___log_phase_MMS_time_=_0_sample                      numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA                     numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE pRS_ROX1_GAL_media                                               numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
-0.429,1.116,1.143,1.23,1.36,1.74,1.83,-0.081,-0.18,0.13,0.57,0.08,0.6,0.66,0.597,1.103,1.119,1.607,2.25,2,1.363,0.812,0.737,0.99,0.806,0.792,-0.401,0.657,0.214,2.072,1.234,0.626,0.302,-0.267,-0.489,-0.198,0.557,0.62,-0.454,-0.347,2.59,3.05,2.4,0.147,0.548,0.839,0.99,-0.545,0.004,-0.06,-0.787,-1.228,99
0.058,-0.692,-1.296,-1.589,-1.554,-1.379,-1.703,0.124,-0.36,-0.849,-1.246,-0.722,-0.947,-0.77,-1.102,-0.796,-1.077,-0.065,0.156,-0.005,-0.197,-0.122,0.116,-0.236,-0.25,-0.366,-0.364,-0.679,-0.124,-0.405,-0.128,0.042,0.158,0.398,0.146,0.395,0.28,-1.574,-0.976,-0.814,0.955,0.525,0.481,0.551,0.177,?,-0.155,0.056,0.471,-1.102,-0.319,-0.177,02/11@02/13/03@14/10@20/01/15
-0.05,0.01,-0.125,-0.06,0.078,0.01,-0.18,0.09,-0.04,-0.274,0.02,0.08,-0.03,-0.01,0.02,-0.24,-0.16,-0.1,0.3,0.57,0.23,2.016,-0.047,0.06,0.34,0.52,0.81,1.296,0.46,0.24,0.17,0.22,0.604,-0.09,0.684,-0.16,-0.03,0.41,0.62,0.37,0.05,-0.04,-0.445,-0.09,0.12,0.24,-0.1,-0.16,-0.25,0.36,-0.12,0.43,10/01/05@10/01/09/05@11/02/03/01/04@11/02/03/04
0.188,0.18,-0.366,-0.057,0.017,0.161,0.203,-0.434,-0.614,0.017,-0.499,-0.784,-0.459,-0.261,-0.135,?,?,0.038,0.509,-0.059,-0.168,-0.172,-0.222,-0.037,0.044,0.101,-0.027,-0.141,-0.653,-0.19,-0.372,?,-0.858,-0.512,-0.752,-0.468,-0.096,1.13,-0.334,-0.346,-1.851,-1.338,-0.474,-0.593,-2.13,?,0.028,0.302,-0.338,?,-0.188,-0.51,20/01/25@20/03@20/09/04
0.15,0.665,0.733,0.88,0.633,0.724,0.875,0.47,0.133,-0.016,0.63,0.276,0.162,0.138,0.44,0.42,0.22,0.197,0.438,0.372,0.477,-0.044,-0.184,-0.036,0.171,0.292,0.173,-0.101,-0.027,0.849,0.578,0.139,0.07,-0.408,-0.054,-0.062,0.114,0.356,-0.145,0.068,0.659,0.227,-0.167,0.101,-0.591,-0.191,0.064,0.291,0.248,-0.75,0.912,0.141,14/04@20/09/16
?,-0.04,0.295,0.603,0.434,0.433,0.334,0.095,0.369,0.408,0.59,0.419,0.417,0.347,0.265,0.26,0.422,0.241,-0.049,-0.209,-0.247,-0.314,-0.534,-0.482,-0.479,0.04,-0.212,-0.215,-0.049,0.583,0.266,0.041,0.076,0.263,0.3,0.423,0.277,-0.414,-0.527,-0.318,0.371,0.065,0.086,0.304,-0.258,0.326,-0.066,-0.056,0.491,-0.467,-0.087,0.283,20/09/07@20/09/13@20/09/18
-0.225,0.361,0.542,0.359,0.566,0.285,0.083,0.141,0.197,0.133,0.468,0.167,0.375,0.191,0.094,0.223,-0.084,0.196,-0.119,0.783,-0.044,-0.289,-0.38,0.059,0.407,0.21,0.28,0.488,-0.038,0.239,-0.128,-0.65,-0.394,-0.903,-0.696,-0.232,0.236,0.644,0.747,-0.026,-1.238,-0.921,-0.298,-0.26,0.469,0.177,0.873,-0.498,-0.132,?,-0.306,-0.202,10/03/01/03@14/04@16/01@20/09/01
-0.121,-0.067,0.665,0.642,0.814,0.788,0.648,-0.091,0.181,0.269,0.353,0.408,0.297,0.2,0.261,0.612,0.491,0.232,0.137,0.256,1.239,0.295,0.164,-0.002,-0.284,0.051,0.229,-0.747,-0.039,0.087,0.39,0.187,0.138,-0.134,-0.062,0.419,0.299,-0.476,0.147,0.187,-0.447,-0.441,-0.557,-0.084,-0.571,-0.751,-0.22,0.079,0.272,-0.235,-0.484,-0.051,01/03/04/03@01/03/07@01/05/13/03@10/01/03
0.359,0.214,0.589,0.739,0.597,0.683,0.072,0.337,0.781,0.921,1.222,1.118,1.174,1.075,0.43,0.575,0.569,0.513,0.509,0.248,0.427,0.62,0.707,-0.261,0.513,-0.03,-0.164,-0.229,-0.288,0.772,0.708,0.457,0.633,0.395,0.408,0.38,0.269,-0.164,-0.399,-0.435,0.385,0.715,0.608,-0.2,0.731,0.908,0.286,-0.19,0.417,-0.161,0.265,0.201,10/03/01@10/03/05/01@14/01@16/01@30@32/01/07@42/04/05
-0.286,-0.03,-0.204,-0.021,-0.1,-0.1,0.1,0.692,-0.14,-0.23,-0.16,0.08,-0.01,-0.04,-0.541,-1,-0.126,0.69,0.249,0.27,0.2,-0.44,-0.16,-0.07,-0.13,0.02,0.312,0.033,0.17,-0.12,-0.64,-0.33,-0.07,0.23,?,-0.03,0.059,0.27,0.23,0.26,0.31,-0.3,-0.29,0.09,?,-1.772,0.5,0.65,-0.32,0.228,0.04,-0.01,14/07/11@14/13/01@16/17@41/01/01@43/01/03/05
-0.02,-0.16,0.17,0,-0.07,-0.05,-0.24,-0.112,-0.14,-0.22,-0.16,-0.06,-0.216,-0.267,-0.231,-0.271,-0.129,-0.586,-0.731,-0.693,-0.494,-0.222,-0.026,-0.161,0.03,0.393,0.356,0.182,0.07,?,?,?,?,?,?,?,?,0.451,?,0.288,-0.66,-0.53,-0.39,-0.237,-0.043,-1.203,-0.05,0.089,0.117,-0.301,-0.515,0.121,01/04@10/03/01/03@10/03/03@14/07/03@42/29@43/01/03/05
0.23,-0.494,-0.096,-0.098,-0.321,-0.259,-0.187,-0.17,0.454,0.28,0.175,0.294,0.542,0.28,-0.1,-0.02,0.12,-0.497,-0.098,-0.311,-0.124,0.056,0.339,-0.17,0.142,-0.226,0.083,-0.279,-0.361,-0.65,-0.163,0.052,0.215,0.554,0.557,0.51,0.203,-0.708,-0.135,-0.019,-0.867,-1.161,-0.047,-0.156,-0.332,-0.159,-0.089,0.168,0.043,-0.187,0.359,0.073,01/03/04
0.111,?,0.053,0.616,-0.368,-0.205,-0.725,0.287,0.302,0.156,?,0.114,-0.016,?,0.205,-0.177,-0.16,-0.818,-0.394,-0.159,-0.402,0.37,-0.61,-0.181,-0.454,-0.299,0.101,0.018,-0.016,?,?,?,?,?,?,-0.345,?,-0.047,-0.067,-0.065,?,0.175,?,0.147,0.637,1.119,0.842,-0.503,0.457,-0.031,-0.088,-0.379,01/01/06/06/01/03@01/01/13@11/02/03/04/01
-0.37,-0.422,-0.916,-0.812,-0.731,-0.761,-0.813,-0.349,-0.769,-0.743,-0.863,-0.444,-0.692,-0.425,-0.668,-0.415,-0.495,-0.302,-0.7,0.027,-0.935,-0.725,-1.08,-0.722,-0.965,-0.231,-0.473,-0.151,-0.361,-0.489,-0.701,-0.618,-0.329,-0.684,-0.856,-0.554,-0.327,-0.504,-0.121,-0.015,-0.925,-0.147,-0.462,-0.302,-0.075,?,?,-0.569,-0.378,-0.213,-0.503,-0.386,01/07/01@01/20/19/01
-0.11,-0.476,-0.436,-0.335,-0.192,-0.216,-0.125,-0.04,0.012,-0.084,0.087,0.253,0.128,0.174,-0.16,-0.22,-0.22,-0.957,-0.617,-0.435,-0.296,-0.131,-0.207,-0.236,-0.254,-0.1,0.189,-0.64,-0.281,-0.252,0.072,0.145,0.123,-0.096,-0.127,-0.075,-0.141,0.21,0.154,-0.091,-1.022,-1.048,-0.277,-0.098,-0.445,-1.756,-0.042,0.225,0.355,-0.062,0.099,-0.416,11/04/01@11/04/02
0.26,-0.233,-1.281,-1.624,-1.591,-1.559,-1.949,0.05,-0.393,-0.165,-1.652,-1.689,-1.833,-1.592,-1.08,-1.83,-1.7,-0.303,0.029,0.201,0.508,0.389,0.079,0.445,0.071,-0.254,1.206,0.811,0.635,-0.278,0.237,0.482,0.752,0.498,0.621,0.277,0.527,-0.717,0.31,-0.177,-0.238,-0.757,-0.932,-0.786,-0.078,-0.146,-0.153,0.14,-0.062,0.186,0.395,0.147,12/04/01
0.177,-0.059,?,0.162,-0.087,0.048,0.042,-0.031,0.515,0.483,0.424,0.576,0.697,0.429,0.171,0.118,0.356,0.433,0.91,0.511,0.62,0.503,1.009,0.012,0.398,0.322,0.216,0.487,-0.353,0.339,0.782,0.697,0.615,0.341,0.541,0.6,0.783,-0.466,0.437,0.046,-0.572,-0.096,-0.167,-0.13,0.228,0.239,-0.14,0.038,-0.358,0.067,0.082,0.255,10/03/04/05@10/03/05/01@16/03/01
0,0.159,-0.343,-0.356,-0.557,-0.142,0.035,0.29,0.252,0.011,0.107,0.399,0.206,0.102,0.03,-0.09,0.13,-0.503,-0.465,-0.743,-0.349,-0.196,-0.305,0.439,0.268,-0.652,0.343,0.745,0.531,-0.626,-0.565,-0.445,0.038,-0.17,0.248,-0.05,0.129,-0.813,-0.168,-0.069,-1.078,-2.027,-1.664,-0.253,-0.4,-0.524,-0.139,0.273,0.414,0.2,0.204,-0.072,14/01@16/01@32/01/07
-0.18,-0.11,-0.18,-0.16,-0.2,-0.43,-0.28,-0.02,-0.34,-0.25,-0.38,-0.09,-0.259,-0.31,-0.17,-0.35,-0.31,0,-0.897,0.24,0.31,-0.1,0.37,0.01,-0.09,0.36,0.37,1.66,0.24,-0.15,-0.128,0.18,-0.263,-0.213,0.13,-0.1,-0.511,0.66,-0.08,0.37,-0.23,-0.5,-0.59,0.02,?,0.01,0.04,0.07,0.98,0.261,0.432,0.04,14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
0.21,0.5,0.744,1.002,0.807,1.009,1.132,0.131,-0.231,0.19,0.403,0.353,0.278,0.362,0.497,0.852,0.69,1.062,0.794,0.662,0.666,0.058,0.085,-0.085,0.172,0.523,0.5,0.062,0.052,1.588,1.264,0.534,-0.074,-0.641,-0.164,-0.431,-0.104,1.393,0.196,0.166,2.832,4.273,3.015,0.257,-0.79,-0.125,0.004,0.336,0.066,0.343,-1.218,0.647,01/01/05/01/02@01/05@01/20/17/01@02/16@02/45
0.142,-0.137,-0.114,-0.257,-0.173,0.039,-0.388,0.437,0.205,0.188,0.107,0.003,0.158,?,-0.073,0.178,0.22,-0.232,-0.032,-0.072,-0.059,0.058,-0.313,-0.279,-0.417,-0.434,-0.221,-0.422,-0.246,0.075,0.116,0.03,-0.001,0.465,0.433,0.336,0.162,-1.052,-0.255,-0.235,0.299,0.189,-0.11,0.3,-0.528,-0.056,-0.117,0.112,-0.113,-0.466,-0.113,-0.043,20/09/07/03@43/01/03/05@43/01/03/09
-0.388,-0.808,-0.43,-0.036,-0.307,-0.438,-0.368,0.433,0.324,0.227,0.565,0.397,0.672,0.353,-0.071,0.029,0.04,-0.165,-0.015,-0.128,0.014,-0.095,0.105,-0.279,-0.105,0.03,0.302,?,-0.073,-0.07,0.321,0.482,0.186,0.286,0.143,0.109,0.198,-0.011,-0.159,0.202,0.148,-0.122,0.356,0.198,0.837,0.97,0.679,-0.615,-0.431,?,0.115,0.15,10/01/03@10/03/01/01/05@10/03/05/01@11/04/03/01@16/19
-0.133,0.294,0.272,0.195,0.165,0.218,0.151,-0.351,-0.535,-0.2,-0.436,-0.501,-0.329,-0.579,-0.259,-0.861,-0.632,0.165,0.075,0.08,0.481,0.208,0.185,-0.072,0.067,0.244,-0.175,-1.008,-0.421,-0.348,-0.239,-0.41,-0.662,-0.815,-0.717,-0.42,-0.304,1.116,?,0.114,-1.048,-0.642,-0.11,0.758,?,-0.41,-0.006,0.234,0.448,?,-0.006,-0.019,14/10
-0.086,-0.219,0.361,0.271,0.303,0.525,0.213,0.389,0.452,0.355,0.357,0.672,0.572,0.648,0.3,0.545,0.66,0.212,0.397,0.252,0.469,0.536,0.438,0.038,-0.021,0.007,-0.056,-0.171,-0.153,0.209,0.287,0.219,0.245,-0.044,0.323,0.623,0.499,0.039,0.065,0.137,-0.903,-0.773,-0.86,-0.16,-0.02,?,-0.225,0.183,-0.511,-0.445,-0.166,0.369,10/01/03/03@10/01/03/05@10/01/05/01@32/01/09
-0.003,-0.074,0.233,0.396,0.361,0.051,0.425,0.171,0.232,0.229,0.512,0.646,0.507,0.316,0.153,0.287,0.355,0.394,-0.023,-0.054,-0.234,-0.021,-0.315,-0.22,-0.081,0.101,0.538,0.32,0.391,0.597,0.365,-0.044,0.023,0.097,0.114,-0.12,-0.283,0.153,-0.068,-0.158,0.589,0.403,0.332,0.24,0.859,0.633,0.725,-0.697,0.22,0.126,-0.203,0.087,10/01/05/01@10/03/01@34/01/01/01@40/01@41/01/01@42/04/03@43/01/03/05@43/01/03/09
0.148,0.256,0.263,0.526,0.465,0.395,0.27,0.277,0.215,0.204,0.538,0.463,0.428,0.381,0.434,0.249,0.175,-0.673,-0.184,-0.216,1.599,-0.194,-0.255,-0.365,-0.295,-0.01,0.265,-0.048,0,0.07,-0.167,-0.029,0.209,-0.391,-0.206,-0.158,0.059,0.334,-0.203,-0.222,0.057,-1.023,-0.142,0.312,-0.356,-0.287,-0.016,0.1,-0.532,0.136,-0.086,-0.118,12/04
0.016,0.366,0.136,0.08,0.135,-0.144,-0.167,0.102,0.369,0.284,0.431,0.213,0.114,0.045,0.295,0.334,0.142,-0.569,-0.527,-0.902,-0.668,-0.477,-0.735,-0.79,-0.887,-0.318,0.283,-0.314,0.061,0.212,0.243,0.853,-0.035,0.313,-0.22,0.298,-0.178,0.173,-0.256,0.062,-0.286,-0.12,0.222,0.139,-0.731,-1.266,-0.152,0.137,-0.267,-0.009,0.102,0.132,02/19
0.199,0.398,0.789,0.811,0.652,0.656,0.977,0.815,0.721,0.551,1.156,1.3,0.995,0.905,0.885,0.91,1.046,0.021,0.558,0.353,0.497,0.575,0.626,0.235,0.036,0.39,0.546,0.09,0.288,0.216,0.195,0.398,0.608,0.234,0.273,0.301,0.433,-0.314,0.234,-0.09,0.258,0.169,-0.201,-0.23,0.072,?,-0.053,0.126,-0.303,?,0.413,0.063,10/01/03@10/01/05@10/01/09/05@11/02/03
-0.212,0,-0.268,-0.183,0.1,-0.485,-0.289,-0.392,-0.528,-0.567,-0.816,-0.985,-0.621,-0.374,-0.541,?,-0.819,1.234,1.28,2.114,0.928,0.921,0.301,0.834,1.179,0.437,0.216,0.048,0.598,0.459,1.354,?,?,0.312,-0.16,-0.166,0.585,0.888,0.346,0.179,-0.613,-0.479,-0.285,0.356,?,0.067,-0.36,-0.047,0.254,0.274,-0.141,-0.105,20/01/07@20/09/18
0.339,-0.005,-0.108,0.13,0.015,-0.009,-0.089,0.246,0.064,-0.191,0.408,0.171,0.302,0.306,-0.299,0.01,-0.114,-0.114,-0.082,-0.314,-0.136,0.14,-0.322,-0.417,-0.33,0.036,0.433,-0.032,0.28,-0.008,-0.137,-0.239,0.158,-0.237,-0.106,-0.256,-0.262,-0.13,-0.054,0.116,-0.33,-0.444,-0.27,-0.434,-0.607,-0.314,0.066,0.108,0.433,-0.122,-0.303,-0.008,01/05@10/03/01@14/07/02/02@42/01@43/01/03/09
-0.025,-0.14,-0.213,-0.33,-0.465,-0.72,-0.817,0.209,0.21,0.18,0.28,0.15,0.22,0.23,0.086,0.241,0.048,0.367,0.456,0.005,0.309,0.123,-0.172,-0.801,-0.745,0.359,-0.149,-0.257,-0.558,0.267,0.183,-0.213,0.042,-0.072,-0.636,-0.353,-0.525,-0.77,-0.724,-0.88,0.35,0.23,0.18,0.11,0.224,-0.008,0.092,0.218,0.05,?,-0.044,-0.534,34/11/03/07
0.346,-0.038,0.355,0.175,-0.184,0.13,0.221,0.266,0.196,0.081,0.257,0.155,0.025,0.115,-0.027,0.079,-0.134,-0.043,0.475,0.259,0.196,0.186,-0.08,-0.493,-0.447,0.365,-0.626,-0.536,-0.561,0.491,0.209,-0.155,0.219,-0.093,0.095,0,-0.078,-1.132,-0.525,-0.611,0.48,0.397,0.281,0.515,-0.199,0.157,-0.116,0.068,?,-0.512,-0.337,-0.67,14/04@20/09/13
?,-0.212,-0.158,-0.176,1.83,-0.388,-0.262,?,-0.103,0.07,0.108,0.056,0.189,0.057,0.159,?,?,0.335,0.168,0.266,-0.007,0.146,0.706,0.329,-0.244,0.192,?,0.452,0.342,-0.631,0,3.068,0.4,0.041,-0.153,-0.091,0.404,-0.634,0.86,0.485,-0.54,-0.801,-0.547,0.022,0.218,?,-0.397,0.076,-0.26,?,-0.112,?,16/01@16/07@30/01/05/05/01@34/11/03/07@40/01/03@42/04/03@43/01/03/05
-0.36,0.86,0.976,1.545,0.385,1.529,1.81,-0.481,-0.499,0.204,0.441,0.172,0.217,0.547,-0.193,-0.372,-0.107,?,1.406,1.547,1.418,1.238,1.008,0.927,1.523,-0.143,-0.284,-1.085,-0.643,-0.021,0.217,-0.01,-0.602,-1.19,-0.699,-0.303,-0.313,0.23,-0.742,-0.241,-1.438,-0.474,-0.35,-0.02,-0.983,?,0.34,-0.04,0.29,0.4,0.626,-0.28,42/16
-0.253,0.008,0.006,0.206,0.058,0.33,0.196,0.211,0.136,0.093,0.37,0.374,0.288,0.251,-0.121,0.117,0.132,-0.076,0.427,0.265,0.006,0.053,0.027,0.174,-0.099,0.168,0.248,0.336,0.027,-0.063,0.143,0.531,0.425,0.376,0.321,-0.009,-0.028,0.105,0.476,0.629,0.069,0.277,-0.168,-0.298,0.088,-0.084,-0.157,-0.027,0.306,0.507,-0.027,-0.389,01/04@10/03/01@11@14/07/03@34/11/03/07@40/01
